SIM_ID,ks,fl_mu_0,fl_mu_ratio,ftype_proportions_0,bpwr_mu_ratio,preburn_fraction,burn_fibers
DOE_0000000,1.4,0.1,2,0.1,1,0.002,False
DOE_0000001,1.4,0.1,2,0.1,1,0.002,True
DOE_0000010,1.4,0.1,2,0.1,1,0.006,False
DOE_0000011,1.4,0.1,2,0.1,1,0.006,True
DOE_0000020,1.4,0.1,2,0.1,1,0.01,False
DOE_0000021,1.4,0.1,2,0.1,1,0.01,True
DOE_0000100,1.4,0.1,2,0.1,2,0.002,False
DOE_0000101,1.4,0.1,2,0.1,2,0.002,True
DOE_0000110,1.4,0.1,2,0.1,2,0.006,False
DOE_0000111,1.4,0.1,2,0.1,2,0.006,True
DOE_0000120,1.4,0.1,2,0.1,2,0.01,False
DOE_0000121,1.4,0.1,2,0.1,2,0.01,True
DOE_0000200,1.4,0.1,2,0.1,3,0.002,False
DOE_0000201,1.4,0.1,2,0.1,3,0.002,True
DOE_0000210,1.4,0.1,2,0.1,3,0.006,False
DOE_0000211,1.4,0.1,2,0.1,3,0.006,True
DOE_0000220,1.4,0.1,2,0.1,3,0.01,False
DOE_0000221,1.4,0.1,2,0.1,3,0.01,True
DOE_0001000,1.4,0.1,2,0.3,1,0.002,False
DOE_0001001,1.4,0.1,2,0.3,1,0.002,True
DOE_0001010,1.4,0.1,2,0.3,1,0.006,False
DOE_0001011,1.4,0.1,2,0.3,1,0.006,True
DOE_0001020,1.4,0.1,2,0.3,1,0.01,False
DOE_0001021,1.4,0.1,2,0.3,1,0.01,True
DOE_0001100,1.4,0.1,2,0.3,2,0.002,False
DOE_0001101,1.4,0.1,2,0.3,2,0.002,True
DOE_0001110,1.4,0.1,2,0.3,2,0.006,False
DOE_0001111,1.4,0.1,2,0.3,2,0.006,True
DOE_0001120,1.4,0.1,2,0.3,2,0.01,False
DOE_0001121,1.4,0.1,2,0.3,2,0.01,True
DOE_0001200,1.4,0.1,2,0.3,3,0.002,False
DOE_0001201,1.4,0.1,2,0.3,3,0.002,True
DOE_0001210,1.4,0.1,2,0.3,3,0.006,False
DOE_0001211,1.4,0.1,2,0.3,3,0.006,True
DOE_0001220,1.4,0.1,2,0.3,3,0.01,False
DOE_0001221,1.4,0.1,2,0.3,3,0.01,True
DOE_0002000,1.4,0.1,2,0.5,1,0.002,False
DOE_0002001,1.4,0.1,2,0.5,1,0.002,True
DOE_0002010,1.4,0.1,2,0.5,1,0.006,False
DOE_0002011,1.4,0.1,2,0.5,1,0.006,True
DOE_0002020,1.4,0.1,2,0.5,1,0.01,False
DOE_0002021,1.4,0.1,2,0.5,1,0.01,True
DOE_0002100,1.4,0.1,2,0.5,2,0.002,False
DOE_0002101,1.4,0.1,2,0.5,2,0.002,True
DOE_0002110,1.4,0.1,2,0.5,2,0.006,False
DOE_0002111,1.4,0.1,2,0.5,2,0.006,True
DOE_0002120,1.4,0.1,2,0.5,2,0.01,False
DOE_0002121,1.4,0.1,2,0.5,2,0.01,True
DOE_0002200,1.4,0.1,2,0.5,3,0.002,False
DOE_0002201,1.4,0.1,2,0.5,3,0.002,True
DOE_0002210,1.4,0.1,2,0.5,3,0.006,False
DOE_0002211,1.4,0.1,2,0.5,3,0.006,True
DOE_0002220,1.4,0.1,2,0.5,3,0.01,False
DOE_0002221,1.4,0.1,2,0.5,3,0.01,True
DOE_0010000,1.4,0.1,6,0.1,1,0.002,False
DOE_0010001,1.4,0.1,6,0.1,1,0.002,True
DOE_0010010,1.4,0.1,6,0.1,1,0.006,False
DOE_0010011,1.4,0.1,6,0.1,1,0.006,True
DOE_0010020,1.4,0.1,6,0.1,1,0.01,False
DOE_0010021,1.4,0.1,6,0.1,1,0.01,True
DOE_0010100,1.4,0.1,6,0.1,2,0.002,False
DOE_0010101,1.4,0.1,6,0.1,2,0.002,True
DOE_0010110,1.4,0.1,6,0.1,2,0.006,False
DOE_0010111,1.4,0.1,6,0.1,2,0.006,True
DOE_0010120,1.4,0.1,6,0.1,2,0.01,False
DOE_0010121,1.4,0.1,6,0.1,2,0.01,True
DOE_0010200,1.4,0.1,6,0.1,3,0.002,False
DOE_0010201,1.4,0.1,6,0.1,3,0.002,True
DOE_0010210,1.4,0.1,6,0.1,3,0.006,False
DOE_0010211,1.4,0.1,6,0.1,3,0.006,True
DOE_0010220,1.4,0.1,6,0.1,3,0.01,False
DOE_0010221,1.4,0.1,6,0.1,3,0.01,True
DOE_0011000,1.4,0.1,6,0.3,1,0.002,False
DOE_0011001,1.4,0.1,6,0.3,1,0.002,True
DOE_0011010,1.4,0.1,6,0.3,1,0.006,False
DOE_0011011,1.4,0.1,6,0.3,1,0.006,True
DOE_0011020,1.4,0.1,6,0.3,1,0.01,False
DOE_0011021,1.4,0.1,6,0.3,1,0.01,True
DOE_0011100,1.4,0.1,6,0.3,2,0.002,False
DOE_0011101,1.4,0.1,6,0.3,2,0.002,True
DOE_0011110,1.4,0.1,6,0.3,2,0.006,False
DOE_0011111,1.4,0.1,6,0.3,2,0.006,True
DOE_0011120,1.4,0.1,6,0.3,2,0.01,False
DOE_0011121,1.4,0.1,6,0.3,2,0.01,True
DOE_0011200,1.4,0.1,6,0.3,3,0.002,False
DOE_0011201,1.4,0.1,6,0.3,3,0.002,True
DOE_0011210,1.4,0.1,6,0.3,3,0.006,False
DOE_0011211,1.4,0.1,6,0.3,3,0.006,True
DOE_0011220,1.4,0.1,6,0.3,3,0.01,False
DOE_0011221,1.4,0.1,6,0.3,3,0.01,True
DOE_0012000,1.4,0.1,6,0.5,1,0.002,False
DOE_0012001,1.4,0.1,6,0.5,1,0.002,True
DOE_0012010,1.4,0.1,6,0.5,1,0.006,False
DOE_0012011,1.4,0.1,6,0.5,1,0.006,True
DOE_0012020,1.4,0.1,6,0.5,1,0.01,False
DOE_0012021,1.4,0.1,6,0.5,1,0.01,True
DOE_0012100,1.4,0.1,6,0.5,2,0.002,False
DOE_0012101,1.4,0.1,6,0.5,2,0.002,True
DOE_0012110,1.4,0.1,6,0.5,2,0.006,False
DOE_0012111,1.4,0.1,6,0.5,2,0.006,True
DOE_0012120,1.4,0.1,6,0.5,2,0.01,False
DOE_0012121,1.4,0.1,6,0.5,2,0.01,True
DOE_0012200,1.4,0.1,6,0.5,3,0.002,False
DOE_0012201,1.4,0.1,6,0.5,3,0.002,True
DOE_0012210,1.4,0.1,6,0.5,3,0.006,False
DOE_0012211,1.4,0.1,6,0.5,3,0.006,True
DOE_0012220,1.4,0.1,6,0.5,3,0.01,False
DOE_0012221,1.4,0.1,6,0.5,3,0.01,True
DOE_0020000,1.4,0.1,10,0.1,1,0.002,False
DOE_0020001,1.4,0.1,10,0.1,1,0.002,True
DOE_0020010,1.4,0.1,10,0.1,1,0.006,False
DOE_0020011,1.4,0.1,10,0.1,1,0.006,True
DOE_0020020,1.4,0.1,10,0.1,1,0.01,False
DOE_0020021,1.4,0.1,10,0.1,1,0.01,True
DOE_0020100,1.4,0.1,10,0.1,2,0.002,False
